fichier;soundfile;soundfile_short;decalage_first_signal;temps..s.;temps_corrected;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID;IdTraj;Imp;D;V;CvV;height;distLight;angle;spetrum;round;Vfinal;Site;Type
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;898.1567993;898.8877993;-0.395128071;0.002074766;-1.908962607;0.003590732;0.860712051;0.014937507;40108.94531;20180710_104_red67;i15_24;0.015502488;999;999;999;1.810712051;5.247770633;-37.4263766;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;950.9887695;951.7197695;0.417812616;0.007303892;0.283118308;0.027438637;0.746511877;0.01964866;22338.42969;20180710_104_red67;i16_25;0.034529632;999;999;999;1.696511877;6.983924722;-28.23006405;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;958.1887817;958.9197817;-0.392367125;0.002017166;-1.912612319;0.003440781;0.88000685;0.014820634;40122.375;20180710_104_red67;i17_26;0.015347936;999;999;999;1.83000685;5.23651209;-37.25500172;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1018.003174;1018.734174;-0.395403028;0.002017236;-1.910975337;0.003424322;0.880826652;0.014772734;40061.55859;20180710_104_red67;i18_27;0.015298003;999;999;999;1.830826652;5.234577642;-37.25983204;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1077.984009;1078.715009;-0.393806726;0.002074802;-1.910694718;0.003592349;0.864907503;0.014900468;40104.99219;20180710_104_red67;i19_28;0.015467182;999;999;999;1.814907503;5.245439992;-37.38816212;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1137.836792;1138.567792;-0.394592524;0.002075435;-1.910854936;0.00359255;0.874050021;0.014767714;40144.77734;20180710_104_red67;i20_29;0.015339466;999;999;999;1.824050021;5.239288925;-37.31377167;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1197.680054;1198.411054;-0.395409375;0.002072873;-1.909578323;0.003589774;0.853855193;0.015036429;40041.87891;20180710_104_red67;i21_30;0.015597355;999;999;999;1.803855193;5.25150245;-37.48944828;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1257.699219;1258.430219;-0.39372617;0.002015506;-1.910491228;0.00342158;0.866324365;0.014960367;40080.28125;20180710_104_red67;i22_31;0.015478439;999;999;999;1.816324365;5.244716236;-37.37472478;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1317.619141;1318.350141;-0.395265311;0.002016005;-1.909472704;0.003419738;0.861389041;0.015004194;40103.11719;20180710_104_red67;i23_32;0.015520462;999;999;999;1.811389041;5.247061692;-37.42299222;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1377.395142;1378.126142;-0.3944332;0.002072932;-1.911823511;0.003590086;0.845033288;0.015182699;40094.73047;20180710_104_red67;i24_33;0.015738491;999;999;999;1.795033288;5.256653367;-37.56761002;red;NA;999;67;individual_position
